
,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072539567947388,0.8883309364318848,0.8437820672988892,0.9404726028442383,0.9836039543151855,0.9615548253059387
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.7832198143005371,0.7078225612640381,0.7380534410476685,0.8165581822395325,0.852921724319458,0.8343439102172852
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8071858882904053,0.8895276784896851,0.844230055809021,0.940169632434845,0.9846910238265991,0.9619154334068298
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7825958728790283,0.7092969417572021,0.7387241125106812,0.8154634833335876,0.8544521331787109,0.8345026969909668
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.8079577684402466,0.8870177268981934,0.8437267541885376,0.9407755136489868,0.9827531576156616,0.9613062739372253
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7845220565795898,0.7074562311172485,0.7384275197982788,0.8174799680709839,0.851016640663147,0.8339112401008606
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.8073011636734009,0.8875212073326111,0.8434293866157532,0.9414571523666382,0.9819890856742859,0.9612960815429688
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7925426959991455,0.7069621086120605,0.7421732544898987,0.8380603790283203,0.8451646566390991,0.8415974974632263
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072259426116943,0.8866745829582214,0.8430713415145874,0.9411541819572449,0.9822939038276672,0.9612841010093689
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7924160361289978,0.7073919773101807,0.7422745227813721,0.8376029133796692,0.8467051982879639,0.8421294689178467
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8101968169212341,0.8861417770385742,0.8447104692459106,0.941684365272522,0.9813733100891113,0.9611192941665649
